,zCMB,mB,x1,c,HOST_LOGMASS,IDSURVEY,zHEL,RA,DEC,x1ERR,cERR,COV_x1_c
000006_15.0,0.23043324078453095,21.39965,-0.00910512,0.12905,10.793,15.0,0.2309,53.366501,-28.3715,0.43902,0.0370608,0.00116184
000010_15.0,0.24593915476666436,21.16281,0.29723,0.0132873,10.786,15.0,0.2445,149.748993,3.1575,0.28779,0.0293159,0.00243256
000011_15.0,0.3816016542431106,22.88949,-2.14572,0.11588,11.5,15.0,0.38,149.975906,2.4119,0.60143,0.0402252,0.00555042
000014_15.0,0.13598002623748748,19.39544,0.47577,-0.111842,9.80415,15.0,0.1369,35.877998,-4.6363,0.57882,0.0339212,0.00104444
000034_15.0,0.2531823167182935,20.70793,1.00288,-0.119666,8.938,15.0,0.2542,36.066399,-3.1865,0.37069,0.025813,0.00264972
000038_15.0,0.1503543486083374,19.71096,0.71049,-0.028408,9.126,15.0,0.1513,35.095699,-4.6725,0.19695,0.0289714,0.000546064
000137_15.0,0.11878409379718123,19.62811,-0.710055,0.0817719,10.2136,15.0,0.1182,161.159302,57.8111,0.17565,0.0306353,0.000521404
000142_15.0,0.43673378297051385,22.72827,-0.769832,-0.0304553,11.5,15.0,0.436,162.309204,58.467201,0.4262,0.038917,0.00215197
000174_15.0,0.2449744992180428,21.41446,-0.731508,0.0869596,10.532,15.0,0.2443,162.029404,56.850201,0.21605,0.0308511,0.00130749
000190_15.0,0.10237112059476519,19.21357,0.0846111,0.00373779,7.0,15.0,0.1011,148.988495,2.2635,0.0980445,0.025848,0.000350899
000196_15.0,0.3506656875938655,21.80192,0.45123,-0.0500067,9.66,15.0,0.3491,150.115097,2.694,0.24223,0.0246404,0.00015159
000199_15.0,0.3716002072235016,21.73922,0.89801,-0.110945,10.475,15.0,0.37,151.2314,2.5909,0.2289,0.0244674,0.000603607
000202_15.0,0.6198866482171836,23.05982,0.61215,-0.168582,9.943,15.0,0.618,150.539093,1.8992,0.52292,0.0414965,0.00206561
000215_15.0,0.4666042333096103,22.45504,0.97228,-0.0983098,8.707,15.0,0.4649,150.809906,3.1442,0.31456,0.0301789,0.000741584
000220_15.0,0.21981723990155924,20.60598,-0.700887,-0.129253,11.335,15.0,0.2184,150.536804,2.7186,0.14475,0.027336,0.000968676
000236_15.0,0.19602361504037147,20.29759,-0.201493,-0.0844319,10.902,15.0,0.1953,131.5802,44.073101,0.14232,0.0259025,0.000494008
000420_15.0,0.3115225437067763,21.66394,-0.749021,-0.0817782,9.742,15.0,0.31,149.820007,1.6135,0.17802,0.0263232,0.00119379
010010_15.0,0.09968602181215905,19.14552,0.9091,0.0103968,9.50285,15.0,0.0984,150.858704,1.0294,0.15659,0.0262066,0.000495672
010026_15.0,0.03174722002192209,16.45212,-0.409321,-0.0315777,9.61222,15.0,0.03123,160.6745,58.8438,0.082041,0.0325954,0.000205188
020027_15.0,0.10987807147983535,19.36212,0.29665,0.0362834,10.0054,15.0,0.1091,186.336197,46.015202,0.15075,0.0290867,-0.000914233
020090_15.0,0.4099578391921131,22.30717,0.32073,-0.0132777,11.32,15.0,0.4094,212.879395,53.579601,0.90738,0.0451914,0.0016285
020096_15.0,0.225631045007924,20.66523,-0.69326,-0.0764737,9.059,15.0,0.225,161.314102,58.192699,0.21577,0.0331512,0.000766081
020176_15.0,0.2605142809606666,20.92832,0.89957,-0.0888211,8.7022,15.0,0.26,211.862396,53.342899,0.32218,0.0270336,0.000210041
030006_15.0,0.5027587360568838,22.52872,0.47249,-0.0907706,9.524,15.0,0.502,162.524506,58.777401,0.9973,0.0709558,0.0243336
030066_15.0,0.22551794656817176,20.41077,1.38181,-0.133984,9.134,15.0,0.2241,150.183395,3.404,0.37115,0.0340396,0.00251996
03D1au_4.0,0.5030833360936708,22.73829,1.26007,-0.0173181,9.517,4.0,0.5043,36.043201,-4.0375,0.15011,0.0295857,6.96809e-06
03D1aw_4.0,0.5807237542974675,23.30647,0.99829,-0.0292815,9.169,4.0,0.582,36.0616,-4.5172,0.27584,0.0362218,0.00164969
03D1ax_4.0,0.49571438668608425,22.69667,-0.734029,-0.105749,11.5,4.0,0.49692,36.097198,-4.7207,0.10212,0.0297562,1.32497e-05
03D1bp_4.0,0.3459277812642381,22.13306,-1.15321,-0.0486941,10.821,4.0,0.347,36.6572,-4.8388,0.11161,0.0263357,0.000314948
03D1co_4.0,0.6776617181014674,23.81052,0.67911,-0.0396083,8.647,4.0,0.679,36.567699,-4.9351,0.40655,0.0665358,0.00623951
03D1fc_4.0,0.3309314577292558,21.60059,0.65439,-0.0230312,10.391,4.0,0.332,36.431599,-4.1441,0.11829,0.0237687,0.000530981
03D1fq_4.0,0.7985657314748162,24.22321,-1.02335,-0.0414917,10.651,4.0,0.8,36.731899,-4.3022,0.42081,0.0647232,0.00315076
03D4at_4.0,0.632223919708499,23.47155,0.21129,-0.056573,8.751,4.0,0.634,333.600189,-17.776699,0.32719,0.0665746,0.00133045
03D4au_4.0,0.46640504438015423,23.53161,0.35918,0.1162,9.464,4.0,0.468,334.041412,-18.0776,0.33294,0.0426701,0.000831949
03D4cj_4.0,0.2686160441671235,20.79794,1.14475,-0.0834523,7.0,4.0,0.27,334.027588,-17.7047,0.0852524,0.023198,-3.47548e-05
03D4cz_4.0,0.6931550186743434,23.76006,-1.76537,-0.068748,10.389,4.0,0.695,334.174408,-17.9263,0.36781,0.0842537,0.00657405
03D4dh_4.0,0.6252231446286112,23.11166,1.13855,-0.076925,9.414,4.0,0.627,334.379303,-17.6297,0.17837,0.0346119,8.34977e-05
03D4dy_4.0,0.6082516759585219,22.978,1.17176,-0.10218,7.0,4.0,0.61,333.71051,-17.956499,0.18431,0.035213,0.000564202
03D4fd_4.0,0.7890431480679144,23.93821,0.82118,-0.0360254,10.005,4.0,0.791,334.060211,-17.395599,0.48128,0.0656315,0.00489704
03D4gf_4.0,0.5782820559813229,23.05885,0.52452,-0.0369076,7.638,4.0,0.58,333.595612,-17.733999,0.31579,0.0373738,0.0025011
03D4gg_4.0,0.5902705781637383,23.16523,0.99441,0.0137963,10.162,4.0,0.592,334.167511,-18.164499,0.43532,0.0390316,0.000310411
040137_15.0,0.44756699330838073,22.53329,1.08695,0.0239259,8.743,15.0,0.447,214.460403,52.800999,0.53781,0.0477259,-0.000294356
040150_15.0,0.38174076654381073,22.20074,-0.249703,-0.0472994,8.413,15.0,0.381,162.097794,57.148201,0.5281,0.0429975,0.00981085
040166_15.0,0.44004430563596486,22.49337,0.30821,-0.148968,8.798,15.0,0.4395,214.119598,54.0536,1.4804,0.067603,-0.0208081
040201_15.0,0.2798772315425062,21.0656,0.395,-0.0867801,9.2773,15.0,0.279,184.459595,47.4468,0.21215,0.0281529,0.000846191
040780_15.0,0.23066582362527174,21.66685,-0.910841,0.27933,10.963,15.0,0.2306,243.619507,54.7258,0.47222,0.0390606,0.0049391
040782_15.0,0.33739464263469937,22.16115,-0.572393,0.15267,10.152,15.0,0.3373,242.076706,54.9081,0.43259,0.0416115,0.0055642
04D1aj_4.0,0.7196260770253619,23.62158,0.3801,-0.0276956,7.0,4.0,0.721,36.4748,-4.9946,0.35878,0.0663833,0.00143965
04D1de_4.0,0.7665896801964046,23.85305,0.90425,-0.12298,9.64,4.0,0.768,36.649601,-4.4226,0.24322,0.0542488,-0.00052016
04D1hd_4.0,0.3679039094787778,21.89532,0.78582,-0.0975472,8.199,4.0,0.369,36.5368,-4.1096,0.067924,0.0219068,-0.000130244
04D1hx_4.0,0.5587459782077486,23.43864,0.27611,0.11205,9.645,4.0,0.56,36.177101,-4.7903,0.19087,0.0343222,1.15387e-05
04D1jg_4.0,0.5829321482167401,23.00785,0.26232,-0.106769,11.338,4.0,0.5842,36.552299,-4.1348,0.15731,0.0326779,0.000492668
04D1kj_4.0,0.5837423984350648,23.07169,0.21618,-0.0689804,9.929,4.0,0.585,36.969398,-4.1803,0.126,0.0287054,-2.19727e-05
04D1ks_4.0,0.7965520283025396,23.8463,0.68862,0.1049,7.966,4.0,0.798,36.0396,-4.9787,0.26157,0.0601819,0.00116796
