,zCMB,mB,x1,c,HOST_LOGMASS,IDSURVEY,zHEL,RA,DEC,x1ERR,cERR,COV_x1_c
03D1au_4.0,0.5030833360936708,22.73829,1.26007,-0.0173181,9.517,4.0,0.5043,36.043201,-4.0375,0.15011,0.0295857,6.96809e-06
03D1aw_4.0,0.5807237542974675,23.30647,0.99829,-0.0292815,9.169,4.0,0.582,36.0616,-4.5172,0.27584,0.0362218,0.00164969
03D1ax_4.0,0.49571438668608425,22.69667,-0.734029,-0.105749,11.5,4.0,0.49692,36.097198,-4.7207,0.10212,0.0297562,1.32497e-05
03D1bp_4.0,0.3459277812642381,22.13306,-1.15321,-0.0486941,10.821,4.0,0.347,36.6572,-4.8388,0.11161,0.0263357,0.000314948
03D1co_4.0,0.6776617181014674,23.81052,0.67911,-0.0396083,8.647,4.0,0.679,36.567699,-4.9351,0.40655,0.0665358,0.00623951
03D1fc_4.0,0.3309314577292558,21.60059,0.65439,-0.0230312,10.391,4.0,0.332,36.431599,-4.1441,0.11829,0.0237687,0.000530981
03D1fq_4.0,0.7985657314748162,24.22321,-1.02335,-0.0414917,10.651,4.0,0.8,36.731899,-4.3022,0.42081,0.0647232,0.00315076
03D4at_4.0,0.632223919708499,23.47155,0.21129,-0.056573,8.751,4.0,0.634,333.600189,-17.776699,0.32719,0.0665746,0.00133045
03D4au_4.0,0.46640504438015423,23.53161,0.35918,0.1162,9.464,4.0,0.468,334.041412,-18.0776,0.33294,0.0426701,0.000831949
03D4cj_4.0,0.2686160441671235,20.79794,1.14475,-0.0834523,7.0,4.0,0.27,334.027588,-17.7047,0.0852524,0.023198,-3.47548e-05
03D4cz_4.0,0.6931550186743434,23.76006,-1.76537,-0.068748,10.389,4.0,0.695,334.174408,-17.9263,0.36781,0.0842537,0.00657405
03D4dh_4.0,0.6252231446286112,23.11166,1.13855,-0.076925,9.414,4.0,0.627,334.379303,-17.6297,0.17837,0.0346119,8.34977e-05
03D4dy_4.0,0.6082516759585219,22.978,1.17176,-0.10218,7.0,4.0,0.61,333.71051,-17.956499,0.18431,0.035213,0.000564202
03D4fd_4.0,0.7890431480679144,23.93821,0.82118,-0.0360254,10.005,4.0,0.791,334.060211,-17.395599,0.48128,0.0656315,0.00489704
03D4gf_4.0,0.5782820559813229,23.05885,0.52452,-0.0369076,7.638,4.0,0.58,333.595612,-17.733999,0.31579,0.0373738,0.0025011
03D4gg_4.0,0.5902705781637383,23.16523,0.99441,0.0137963,10.162,4.0,0.592,334.167511,-18.164499,0.43532,0.0390316,0.000310411
04D1aj_4.0,0.7196260770253619,23.62158,0.3801,-0.0276956,7.0,4.0,0.721,36.4748,-4.9946,0.35878,0.0663833,0.00143965
04D1de_4.0,0.7665896801964046,23.85305,0.90425,-0.12298,9.64,4.0,0.768,36.649601,-4.4226,0.24322,0.0542488,-0.00052016
04D1hd_4.0,0.3679039094787778,21.89532,0.78582,-0.0975472,8.199,4.0,0.369,36.5368,-4.1096,0.067924,0.0219068,-0.000130244
04D1hx_4.0,0.5587459782077486,23.43864,0.27611,0.11205,9.645,4.0,0.56,36.177101,-4.7903,0.19087,0.0343222,1.15387e-05
04D1jg_4.0,0.5829321482167401,23.00785,0.26232,-0.106769,11.338,4.0,0.5842,36.552299,-4.1348,0.15731,0.0326779,0.000492668
04D1kj_4.0,0.5837423984350648,23.07169,0.21618,-0.0689804,9.929,4.0,0.585,36.969398,-4.1803,0.126,0.0287054,-2.19727e-05
04D1ks_4.0,0.7965520283025396,23.8463,0.68862,0.1049,7.966,4.0,0.798,36.0396,-4.9787,0.26157,0.0601819,0.00116796
04D1oh_4.0,0.5887206607755485,23.13346,-0.0773052,-0.0718245,9.17,4.0,0.59,36.2598,-4.2362,0.20659,0.0318518,0.000667221
04D1pc_4.0,0.7685866295578789,24.2636,-0.434616,0.0918405,10.418,4.0,0.77,36.603699,-4.3994,0.33791,0.0618927,0.00349927
04D1pg_4.0,0.5137929815664396,23.31379,0.98811,0.10301,9.808,4.0,0.515,36.7673,-4.1753,0.1972,0.0349111,0.00126171
04D1pp_4.0,0.7336081709647492,23.70692,-1.38223,-0.114244,11.382,4.0,0.735,36.301998,-4.7016,0.21307,0.0513036,0.000340284
04D1pu_4.0,0.637700328679314,23.74719,-1.59949,0.0967588,9.314,4.0,0.639,36.868599,-4.7449,0.37149,0.080719,0.00689405
04D1qd_4.0,0.7655880966433809,23.96641,0.17992,0.0164945,10.496,4.0,0.767,36.637798,-4.1072,0.27421,0.0523451,0.00250051
04D1rh_4.0,0.4348604741383316,22.29301,0.80878,-0.0640721,9.888,4.0,0.436,36.9464,-4.2538,0.21002,0.0255293,0.000142393
04D1sa_4.0,0.583742747476615,23.30036,-0.445335,-0.0690323,10.623,4.0,0.585,36.984001,-4.1761,0.28823,0.0327905,0.000604784
04D1si_4.0,0.7006311150614601,23.58295,0.1376,-0.0121453,10.638,4.0,0.702,36.2033,-4.569,0.29792,0.0537341,0.00146783
04D1sk_4.0,0.6620579532880893,23.80419,0.45278,0.0832709,10.416,4.0,0.6634,36.094898,-4.3536,0.37908,0.0551483,0.00245852
04D2an_4.0,0.6218848388961684,23.30522,-0.307084,-0.0493553,7.542,4.0,0.62,150.218002,2.0412,0.56418,0.0477568,0.00710703
04D2cf_4.0,0.37059590532426256,22.196,-0.854231,-0.0213782,10.809,4.0,0.369,150.483704,1.8795,0.2151,0.0343102,-0.00299885
04D2fp_4.0,0.41664169852676547,22.27871,0.37739,-0.0569556,10.235,4.0,0.415,149.867203,2.321,0.12792,0.0273185,-0.000274875
04D2fs_4.0,0.35857895585296556,22.15715,0.10146,0.0519925,8.386,4.0,0.357,150.091995,1.7654,0.10203,0.0255854,-0.00032459
04D2gb_4.0,0.4516912930980645,22.63505,-1.60336,0.0227692,10.246,4.0,0.45,150.594406,1.8942,0.17186,0.0340255,-0.000290161
04D2gc_4.0,0.5227723911801547,23.05858,1.1143,0.00959711,9.326,4.0,0.521,150.413605,1.8831,0.20565,0.0351183,-0.00015857
04D2gp_4.0,0.7340079787223497,23.92984,-1.35262,-0.136739,8.834,4.0,0.732,149.8349,2.5089,0.41314,0.0850969,0.00369148
04D2iu_4.0,0.7019767103642425,23.94873,-1.92656,0.0351432,7.0,4.0,0.7,150.304901,2.415,0.42093,0.0842185,0.00224835
04D2ja_4.0,0.7420200450999571,23.81112,0.36095,-0.203948,10.991,4.0,0.74,149.702103,1.7717,0.40224,0.071347,-0.00256269
04D2kr_4.0,0.7461304041013179,23.57269,0.80413,-0.0341746,7.0,4.0,0.7441,150.155594,1.7119,0.31487,0.0509363,-0.000854229
04D2mc_4.0,0.3495688991573384,22.24532,-1.78672,0.07825,10.96,4.0,0.348,150.148102,1.7842,0.1152,0.0291433,0.00061104
04D2mh_4.0,0.5918464967232274,23.11484,1.58203,0.00724167,9.097,4.0,0.59,149.941193,2.141,0.17325,0.0318484,0.000206881
04D2mj_4.0,0.5147568994988894,23.50895,1.50549,0.14883,9.548,4.0,0.513,150.152206,2.5771,0.2247,0.0342036,0.000353901
04D3co_4.0,0.6206312949786634,23.51217,-0.663056,-0.0264439,9.517,4.0,0.62,214.458206,52.9636,0.19497,0.0444317,0.00123287
04D3cy_4.0,0.6436455065050691,23.50976,-0.189327,-0.0396432,9.98,4.0,0.643,214.551804,52.658298,0.20437,0.0642766,0.00137985
04D3do_4.0,0.6106425851270394,23.28591,-0.815949,-0.114016,10.485,4.0,0.61,214.442001,52.267601,0.14548,0.0310928,-0.00105663
04D3ez_4.0,0.2634865060558443,21.40058,-1.08753,0.0271516,10.29,4.0,0.263,214.782898,53.071999,0.0824226,0.0244496,3.33609e-05
04D3fk_4.0,0.3583350650413772,22.24456,-0.394488,0.0709778,10.189,4.0,0.3578,214.6091,52.5285,0.0811852,0.0229916,-2.09148e-05
04D3fq_4.0,0.7426959877718684,23.80748,-0.408963,-0.0392252,9.299,4.0,0.742,214.241196,52.379501,0.35531,0.0675987,0.00192113
04D3gt_4.0,0.4515553107095519,22.97587,-0.238989,0.18447,11.34,4.0,0.451,215.635803,52.6469,0.11205,0.0283186,-0.000169329
04D3hn_4.0,0.5526040505720207,23.21607,-0.56836,0.0747458,10.79,4.0,0.552,215.528702,52.2286,0.12108,0.0357298,0.000350936
04D3kr_4.0,0.33753355413521147,21.692,1.22584,-0.0285279,9.287,4.0,0.337,214.149704,52.478901,0.0821711,0.0222357,-0.000111103
04D3ks_4.0,0.7506802186169181,23.52089,0.54287,-0.0351442,8.459,4.0,0.75,215.639801,52.1852,0.31152,0.0627396,8.61787e-05
04D3nh_4.0,0.34051863448772934,21.86472,0.60401,-0.0128676,9.356,4.0,0.34,215.611298,52.333401,0.0872765,0.0212633,0.000118028
04D4an_4.0,0.6112424524068271,23.7482,-0.328424,0.0195928,10.541,4.0,0.613,333.987915,-17.695499,0.40784,0.0408911,0.00196573
04D4bq_4.0,0.5483150924903283,23.0747,0.65889,0.0946158,8.706,4.0,0.55,333.705902,-17.8276,0.25839,0.0378982,0.00169356
04D4fx_4.0,0.6272290195983199,23.25759,0.96367,-0.00277069,8.305,4.0,0.629,334.158905,-18.066401,0.19305,0.0341139,0.000249928
04D4gg_4.0,0.4224430302287168,22.4626,1.2311,0.0730595,10.057,4.0,0.424,334.038605,-17.294399,0.13835,0.0263737,0.000444855
04D4hu_4.0,0.7011472828307465,23.64257,0.0397198,-0.107437,9.475,4.0,0.703,333.900909,-17.8389,0.23414,0.0577333,0.000501547
04D4ib_4.0,0.697153384148767,23.31471,0.9689,-0.138525,10.994,4.0,0.699,334.173798,-18.105101,0.21666,0.0520064,0.000702881
04D4ic_4.0,0.685168884410745,23.84967,-0.878255,-0.0158616,9.325,4.0,0.687,333.591095,-17.943501,0.38451,0.0719796,0.00177992
04D4id_4.0,0.7670643688445091,23.9164,0.66935,-0.170684,10.324,4.0,0.769,334.089203,-17.229,0.4435,0.0607116,0.00134158
04D4im_4.0,0.7490895357571111,23.55859,1.1487,0.0140484,11.199,4.0,0.751,333.75351,-17.396,0.25303,0.0585362,-0.00162129
04D4in_4.0,0.5143439118343567,22.61601,1.52402,-0.0764535,9.101,4.0,0.516,333.785706,-17.261,0.14696,0.0282751,0.00046789
04D4jr_4.0,0.4683969856215068,22.37259,1.53692,-0.0689081,8.024,4.0,0.47,333.559692,-17.350201,0.12203,0.0264731,-0.000158981
04D4ju_4.0,0.47038943170111835,23.50273,0.43812,0.15107,9.239,4.0,0.472,334.261414,-17.3328,0.22493,0.0341341,-6.31295e-05
05D1cb_4.0,0.6306986469348359,23.43392,-0.292514,-0.00173125,10.111,4.0,0.632,36.737701,-4.1176,0.20646,0.041603,0.000385306
05D1cc_4.0,0.5627504316007583,23.24404,-0.150829,-0.0109856,9.316,4.0,0.564,36.629902,-4.1648,0.15119,0.0304745,0.00118295
05D1ck_4.0,0.6156977882940865,23.81175,-0.0215336,0.1044,9.724,4.0,0.617,36.1035,-4.7128,0.2594,0.037288,0.000998097
05D1dn_4.0,0.5647407177829912,23.02143,1.23413,-0.0228195,10.234,4.0,0.566,36.111,-4.9916,0.22423,0.0342457,5.03091e-05
05D1dx_4.0,0.5787449173459599,23.01471,0.64671,-0.0501127,9.416,4.0,0.58,36.945801,-4.0325,0.1202,0.029556,-0.000111011
05D1ee_4.0,0.5577426487658678,23.26135,-0.603782,-0.00629786,10.973,4.0,0.559,36.194801,-4.0005,0.18439,0.0339696,0.000239669
05D1eo_4.0,0.7356074106838172,24.02241,-1.52666,-0.0510331,11.125,4.0,0.737,36.346401,-4.6427,0.29399,0.0641856,0.00119688
05D1hm_4.0,0.5857432880012299,23.8257,1.08259,0.14468,9.854,4.0,0.587,36.9426,-4.7173,0.28503,0.0396975,0.0014431
05D1if_4.0,0.7615798342055714,23.75963,0.16435,-0.0547309,7.0,4.0,0.763,36.123901,-4.5703,0.25395,0.0513592,0.00018581
05D1ix_4.0,0.48879934214128234,22.60579,0.54116,-0.0769186,7.466,4.0,0.49,36.083199,-4.67,0.13867,0.0262067,0.000345177
05D1ke_4.0,0.6886558720591726,23.32815,0.21014,-0.111381,8.851,4.0,0.69,36.692902,-4.8625,0.2579,0.0491171,0.00125156
05D1kl_4.0,0.5587422898284234,23.88774,0.66353,0.13383,8.425,4.0,0.56,36.139702,-4.319,0.2988,0.0397278,0.00115599
05D2ab_4.0,0.32454109403328174,21.72522,-0.156457,-0.0460113,10.098,4.0,0.323,150.461899,2.1063,0.0837462,0.0221283,0.000233431
05D2ac_4.0,0.48071389350859295,22.40047,1.12022,-0.0645253,11.153,4.0,0.479,149.746796,2.4895,0.11153,0.0244675,-6.13267e-05
05D2bt_4.0,0.6819537936696042,23.22387,0.51418,-0.16162,7.0,4.0,0.68,150.417694,2.5662,0.25606,0.0483354,0.00179563
05D2bv_4.0,0.47571734698413903,22.44582,-0.0103674,-0.114695,8.838,4.0,0.474,150.570801,2.2406,0.12199,0.0245677,0.000119763
05D2cb_4.0,0.4286554446604738,23.1319,0.8842,0.15153,9.534,4.0,0.427,149.852402,2.3282,0.19161,0.0285641,0.00047668
05D2ci_4.0,0.6318932622419492,23.33003,-0.938128,0.0730981,10.977,4.0,0.63,150.008499,2.2159,0.246,0.0649237,0.000881622
05D2ck_4.0,0.6999721493061772,24.17986,-2.64608,-0.00813476,10.941,4.0,0.698,150.188293,2.5729,0.45867,0.0672973,0.00423113
05D2ct_4.0,0.7360193392698646,24.10396,0.36808,0.0899969,9.761,4.0,0.734,150.425797,2.1238,0.46935,0.0682621,0.000994071
05D2dt_4.0,0.5758336298507531,23.38259,0.18619,0.0268279,10.244,4.0,0.574,150.349701,1.8577,0.27233,0.0353094,0.00188897
