,0
0,03D1au_4.0
1,03D1aw_4.0
2,03D1ax_4.0
3,03D1bp_4.0
4,03D1co_4.0
5,03D1fc_4.0
6,03D1fq_4.0
7,03D4at_4.0
8,03D4au_4.0
9,03D4cj_4.0
10,03D4cz_4.0
11,03D4dh_4.0
12,03D4dy_4.0
13,03D4fd_4.0
14,03D4gf_4.0
15,03D4gg_4.0
16,04D1aj_4.0
17,04D1de_4.0
18,04D1hd_4.0
19,04D1hx_4.0
20,04D1jg_4.0
21,04D1kj_4.0
22,04D1ks_4.0
23,04D1oh_4.0
24,04D1pc_4.0
25,04D1pg_4.0
26,04D1pp_4.0
27,04D1pu_4.0
28,04D1qd_4.0
29,04D1rh_4.0
30,04D1sa_4.0
31,04D1si_4.0
32,04D1sk_4.0
33,04D2an_4.0
34,04D2cf_4.0
35,04D2fp_4.0
36,04D2fs_4.0
37,04D2gb_4.0
38,04D2gc_4.0
39,04D2gp_4.0
40,04D2iu_4.0
41,04D2ja_4.0
42,04D2kr_4.0
43,04D2mc_4.0
44,04D2mh_4.0
45,04D2mj_4.0
46,04D3co_4.0
47,04D3cy_4.0
48,04D3do_4.0
49,04D3ez_4.0
50,04D3fk_4.0
51,04D3fq_4.0
52,04D3gt_4.0
53,04D3hn_4.0
54,04D3kr_4.0
55,04D3ks_4.0
56,04D3nh_4.0
57,04D4an_4.0
58,04D4bq_4.0
59,04D4fx_4.0
60,04D4gg_4.0
61,04D4hu_4.0
62,04D4ib_4.0
63,04D4ic_4.0
64,04D4id_4.0
65,04D4im_4.0
66,04D4in_4.0
67,04D4jr_4.0
68,04D4ju_4.0
69,05D1cb_4.0
70,05D1cc_4.0
71,05D1ck_4.0
72,05D1dn_4.0
73,05D1dx_4.0
74,05D1ee_4.0
75,05D1eo_4.0
76,05D1hm_4.0
77,05D1if_4.0
78,05D1ix_4.0
79,05D1ke_4.0
80,05D1kl_4.0
81,05D2ab_4.0
82,05D2ac_4.0
83,05D2bt_4.0
84,05D2bv_4.0
85,05D2cb_4.0
86,05D2ci_4.0
87,05D2ck_4.0
88,05D2ct_4.0
89,05D2dt_4.0
90,05D2dw_4.0
91,05D2dy_4.0
92,05D2eb_4.0
93,05D2ec_4.0
94,05D2fq_4.0
95,05D2hc_4.0
96,05D2he_4.0
97,05D2ie_4.0
98,05D2le_4.0
99,05D2mp_4.0
100,05D2nt_4.0
101,05D3ax_4.0
102,05D3cf_4.0
103,05D3dd_4.0
104,05D3gp_4.0
105,05D3gv_4.0
106,05D3hh_4.0
107,05D3hs_4.0
108,05D3jb_4.0
109,05D3jh_4.0
110,05D3jk_4.0
111,05D3jq_4.0
112,05D3jr_4.0
113,05D3kt_4.0
114,05D3lb_4.0
115,05D3lc_4.0
116,05D3lr_4.0
117,05D3mh_4.0
118,05D3mn_4.0
119,05D3mq_4.0
120,05D3mx_4.0
121,05D4af_4.0
122,05D4ag_4.0
123,05D4av_4.0
124,05D4be_4.0
125,05D4bf_4.0
126,05D4bi_4.0
127,05D4bj_4.0
128,05D4bm_4.0
129,05D4cn_4.0
130,05D4cq_4.0
131,05D4cs_4.0
132,05D4cw_4.0
133,05D4dt_4.0
134,05D4ef_4.0
135,05D4ej_4.0
136,05D4ek_4.0
137,05D4ev_4.0
138,05D4ff_4.0
139,05D4fo_4.0
140,06D2bk_4.0
141,06D2ca_4.0
142,06D2cc_4.0
143,06D2ck_4.0
144,06D2gb_4.0
145,06D3bz_4.0
146,06D3cc_4.0
147,06D3df_4.0
148,06D3do_4.0
149,06D3dt_4.0
150,06D3ed_4.0
151,06D3el_4.0
152,06D3em_4.0
153,06D3et_4.0
154,06D3fp_4.0
155,06D3gh_4.0
156,06D4ba_4.0
157,06D4bo_4.0
158,06D4bw_4.0
159,06D4co_4.0
160,06D4cq_4.0
161,1032_1.0
162,1112_1.0
163,1241_1.0
164,1253_1.0
165,12779_1.0
166,12781_1.0
167,12843_1.0
168,12853_1.0
169,12856_1.0
170,12860_1.0
171,12881_1.0
172,12883_1.0
173,12898_1.0
174,12927_1.0
175,12928_1.0
176,12950_1.0
177,12971_1.0
178,12972_1.0
179,12977_1.0
180,13025_1.0
181,13038_1.0
182,13044_1.0
183,13045_1.0
184,13070_1.0
185,13072_1.0
186,13099_1.0
187,13135_1.0
188,13136_1.0
189,13152_1.0
190,13254_1.0
191,13305_1.0
192,13354_1.0
193,13506_1.0
194,13511_1.0
195,13610_1.0
196,13641_1.0
197,13655_1.0
198,13689_1.0
199,1371_1.0
200,13727_1.0
201,13736_1.0
202,13757_1.0
203,13796_1.0
204,13830_1.0
205,13835_1.0
206,13894_1.0
207,13934_1.0
208,14019_1.0
209,14024_1.0
210,14108_1.0
211,14157_1.0
212,14212_1.0
213,14261_1.0
214,14284_1.0
215,14298_1.0
216,14331_1.0
217,14421_1.0
218,14437_1.0
219,14451_1.0
220,14456_1.0
221,14481_1.0
222,14735_1.0
223,14846_1.0
224,14871_1.0
225,14979_1.0
226,14984_1.0
227,15129_1.0
228,15132_1.0
229,15161_1.0
230,15171_1.0
231,15201_1.0
232,15203_1.0
233,15213_1.0
234,15219_1.0
235,15222_1.0
236,15229_1.0
237,15234_1.0
238,15259_1.0
239,15287_1.0
240,15354_1.0
241,15356_1.0
242,15365_1.0
243,15383_1.0
244,15421_1.0
245,15425_1.0
246,15433_1.0
247,15440_1.0
248,15443_1.0
249,15453_1.0
250,15461_1.0
251,15466_1.0
252,15467_1.0
253,15508_1.0
254,15583_1.0
255,15584_1.0
256,15648_1.0
257,15674_1.0
258,15704_1.0
259,15776_1.0
260,1580_1.0
261,15868_1.0
262,15872_1.0
263,15897_1.0
264,15901_1.0
265,16021_1.0
266,16032_1.0
267,16069_1.0
268,16072_1.0
269,16073_1.0
270,16093_1.0
271,16099_1.0
272,16100_1.0
273,16106_1.0
274,16116_1.0
275,16165_1.0
276,16206_1.0
277,16211_1.0
278,16213_1.0
279,16232_1.0
280,16259_1.0
281,16276_1.0
282,16281_1.0
283,16350_1.0
284,17168_1.0
285,17186_1.0
286,17208_1.0
287,17215_1.0
288,17218_1.0
289,17220_1.0
290,17223_1.0
291,17332_1.0
292,17340_1.0
293,17366_1.0
294,17389_1.0
295,17435_1.0
296,17464_1.0
297,17497_1.0
298,17552_1.0
299,17605_1.0
300,17629_1.0
301,17791_1.0
302,17801_1.0
303,17809_1.0
304,17811_1.0
305,17825_1.0
306,17875_1.0
307,17884_1.0
308,1794_1.0
309,18030_1.0
310,18091_1.0
311,18241_1.0
312,18323_1.0
313,18325_1.0
314,18415_1.0
315,18463_1.0
316,18466_1.0
317,18485_1.0
318,18486_1.0
319,18602_1.0
320,18604_1.0
321,18612_1.0
322,18617_1.0
323,18650_1.0
324,18697_1.0
325,18740_1.0
326,18749_1.0
327,18768_1.0
328,18787_1.0
329,18804_1.0
330,18807_1.0
331,18809_1.0
332,18835_1.0
333,18855_1.0
334,18927_1.0
335,18940_1.0
336,18945_1.0
337,18965_1.0
338,19002_1.0
339,19008_1.0
340,19023_1.0
341,19027_1.0
342,19101_1.0
343,19128_1.0
344,19149_1.0
345,19174_1.0
346,19207_1.0
347,19230_1.0
348,19282_1.0
349,19341_1.0
350,19353_1.0
351,19543_1.0
352,19596_1.0
353,19616_1.0
354,19632_1.0
