FITOPTNUM,SURVEY,user_args,scale,vpecTo0
FITOPT000,GLOBAL,None,1.0,1
FITOPT001,GLOBAL,MWEBV,1.0,1
FITOPT002,GLOBAL,CALSPEC,3.0,1
FITOPT003,GLOBAL,VPEC_ZSHIFT,1.0,0
FITOPT004,GLOBAL,VPEC_DARCY_MARG,1.0,0
FITOPT005,GLOBAL,VPEC_2MRS,1.0,0
FITOPT006,GLOBAL,VPEC_DARCY_SMOOTHED,1.0,0
FITOPT007,GLOBAL,VPEC_2MRS_SMOOTHED,1.0,0
FITOPT008,GLOBAL,COLORLAW,0.3,1
FITOPT009,GLOBAL,JLA_SALT2_CAL,0.3,1
FITOPT010,LOWZ,cal_1,0.3,1
FITOPT011,LOWZ,cal_2,0.3,1
FITOPT012,LOWZ,cal_3,0.3,1
FITOPT013,LOWZ,cal_4,0.3,1
FITOPT014,LOWZ,cal_5,0.3,1
FITOPT015,LOWZ,cal_6,0.3,1
FITOPT016,LOWZ,cal_7,0.3,1
FITOPT017,LOWZ,cal_8,0.3,1
FITOPT018,LOWZ,cal_9,0.3,1
FITOPT019,CSP,CSP_CAL,0.5,1
